"condition","clicks"
"treatment",10
"control",7
"treatment",9
"control",7
"control",7
"control",7
"treatment",11
"control",8
"treatment",10
"control",6
"treatment",10
"treatment",12
"treatment",9
"control",10
"treatment",10
"treatment",9
"treatment",12
"control",8
"control",11
"treatment",11
"control",7
"control",7
"control",5
"control",9
"treatment",9
"control",6
"control",3
"control",6
"control",6
"control",10
"treatment",11
"treatment",10
"control",9
"treatment",10
"control",5
"treatment",9
"treatment",9
"treatment",11
"treatment",11
"control",9
"control",7
"control",7
"treatment",10
"control",7
"treatment",10
"control",4
"treatment",10
"control",8
"treatment",10
"treatment",10
"treatment",9
"control",7
"treatment",12
"treatment",12
"control",4
"treatment",10
"treatment",11
"control",6
"control",3
"control",10
"treatment",10
"control",6
"treatment",9
"treatment",10
"treatment",11
"treatment",11
"control",17
"treatment",10
"treatment",10
"control",11
"treatment",11
"treatment",11
"treatment",12
"control",5
"treatment",11
"treatment",11
"control",7
"treatment",10
"treatment",9
"treatment",12
"treatment",11
"control",5
"control",9
"control",12
"control",9
"control",6
"control",11
"control",8
"control",7
"control",9
"control",11
"control",8
"treatment",10
"treatment",12
"control",17
"control",10
"control",7
"treatment",10
"treatment",9
"control",8
