"condition","clicks"
"control",6
"treatment",17
"treatment",7
"treatment",9
"treatment",14
"control",17
"control",8
"treatment",10
"control",10
"control",11
"treatment",6
"treatment",6
"treatment",13
"treatment",8
"treatment",2
"treatment",14
"treatment",7
"control",7
"control",8
"control",9
"treatment",12
"treatment",7
"treatment",12
"control",9
"control",11
"control",5
"treatment",6
"treatment",6
"control",6
"control",6
"treatment",11
"treatment",13
"treatment",11
"control",3
"control",8
"control",6
"control",7
"treatment",10
"control",8
"control",10
"treatment",7
"control",7
"control",8
"treatment",16
"control",5
"control",11
"treatment",10
"control",9
"control",10
"control",8
"control",6
"control",8
"treatment",7
"control",7
"treatment",3
"treatment",13
"treatment",11
"control",7
"treatment",9
"control",6
"treatment",9
"control",5
"control",2
"treatment",8
"control",9
"treatment",7
"treatment",3
"treatment",8
"treatment",12
"treatment",17
"control",6
"treatment",13
"control",7
"treatment",12
"control",9
"control",3
"treatment",10
"treatment",15
"control",7
"treatment",3
"treatment",10
"treatment",14
"control",6
"treatment",9
"control",9
"treatment",7
"control",9
"control",10
"treatment",8
"control",8
"control",5
"treatment",12
"control",4
"treatment",13
"control",6
"treatment",8
"control",10
"control",9
"control",9
"treatment",5
"control",8
"treatment",12
"treatment",8
"control",8
"treatment",12
"treatment",13
"treatment",7
"treatment",9
"treatment",9
"treatment",4
"treatment",8
"treatment",6
"treatment",13
"control",11
"control",3
"control",14
"control",6
"treatment",12
"control",10
"control",10
"control",6
"control",7
"treatment",7
"control",9
"control",13
"treatment",10
"control",16
"treatment",16
"control",10
"control",9
"treatment",12
"treatment",5
"treatment",11
"treatment",7
"control",4
"treatment",6
"treatment",5
"treatment",8
"control",11
"treatment",11
"treatment",6
"control",10
"control",8
"treatment",11
"treatment",11
"control",13
"control",9
"control",7
"treatment",7
"control",10
"treatment",7
"control",5
"control",10
"control",8
"treatment",9
"treatment",10
"control",7
"control",12
"control",7
"treatment",8
"treatment",13
"treatment",15
"control",10
"treatment",8
"control",7
"treatment",12
"treatment",8
"control",9
"treatment",2
"treatment",10
"control",10
"treatment",5
"control",6
"treatment",9
"treatment",4
"control",11
"treatment",12
"treatment",9
"treatment",5
"control",8
"control",7
"treatment",6
"treatment",11
"treatment",9
"control",8
"control",6
"control",3
"control",6
"treatment",12
"control",10
"treatment",12
"control",11
"treatment",11
"treatment",20
"control",7
"control",1
"control",12
"control",8
"treatment",7
"treatment",9
"control",3
"treatment",7
"control",12
"treatment",11
"control",7
"treatment",14
"control",9
"control",6
"treatment",18
"treatment",13
"treatment",10
"treatment",10
"control",10
"control",8
"treatment",13
"treatment",11
"treatment",13
"control",6
"treatment",9
"control",7
"control",6
"treatment",13
"control",5
"control",9
"treatment",10
"treatment",18
"treatment",10
"treatment",7
"control",9
"control",9
"control",3
"treatment",16
"treatment",9
"treatment",6
"treatment",11
"treatment",9
"treatment",13
"treatment",8
"treatment",7
"treatment",4
"treatment",2
"treatment",7
"treatment",14
"control",6
"treatment",9
"control",7
"treatment",6
"control",2
"control",8
"treatment",9
"treatment",7
"treatment",7
"control",10
"control",11
"control",3
"control",9
"treatment",18
"treatment",16
"control",6
"control",7
"treatment",14
"control",6
"treatment",3
"treatment",15
"treatment",16
"treatment",9
"control",8
"treatment",7
"treatment",8
"treatment",17
"control",11
"treatment",11
"control",8
"control",8
"treatment",3
"treatment",8
"treatment",9
"treatment",6
"treatment",13
"control",13
"control",6
"treatment",11
"treatment",15
"control",7
"treatment",13
"treatment",11
"treatment",10
"treatment",5
"control",1
"treatment",17
"control",8
"control",10
"treatment",13
"control",8
"treatment",13
"treatment",8
"control",1
"control",8
"treatment",5
"control",10
"control",6
"control",9
"control",7
"treatment",21
"control",9
"treatment",10
"treatment",6
"treatment",10
"control",6
"treatment",13
"treatment",6
"control",3
"treatment",10
"control",6
"treatment",3
"treatment",8
"control",8
"control",7
"treatment",13
"treatment",20
"control",9
"control",14
"control",7
"control",11
"control",6
"control",5
"treatment",8
"treatment",5
"treatment",5
"control",8
"treatment",10
"treatment",11
"control",7
"treatment",8
"control",10
"control",13
"control",10
"treatment",9
"control",11
"treatment",8
"treatment",10
"control",5
"control",7
"treatment",10
"treatment",19
"treatment",2
"control",11
"treatment",11
"control",5
"control",11
"treatment",8
"treatment",6
"treatment",13
"control",10
"treatment",7
"treatment",9
"treatment",10
"treatment",8
"control",9
"treatment",14
"control",13
"control",11
"treatment",4
"control",7
"control",11
"control",9
"control",8
"treatment",3
"control",11
"control",9
"treatment",16
"treatment",9
"control",7
"treatment",9
"control",13
"control",9
"treatment",9
"treatment",13
"treatment",17
"treatment",2
"treatment",9
"treatment",11
"treatment",4
"treatment",16
"treatment",9
"control",11
"control",7
"control",3
"control",4
"treatment",13
"treatment",5
"control",9
"treatment",11
"control",13
"control",8
"control",6
"control",7
"control",10
"control",6
"treatment",8
"treatment",10
"treatment",6
"treatment",9
"treatment",9
"control",8
"treatment",14
"control",10
"control",12
"control",11
"treatment",15
"treatment",8
"treatment",4
"control",9
"treatment",8
"control",13
"control",7
"control",12
"control",6
"control",11
"control",9
"control",5
"treatment",13
"treatment",10
"control",7
"treatment",0
"treatment",10
"treatment",11
"treatment",0
"control",6
"control",4
"treatment",10
"treatment",4
"treatment",6
"treatment",9
"treatment",3
"control",14
"control",7
"treatment",11
"treatment",11
"control",3
"control",6
"treatment",6
"treatment",15
"treatment",6
"treatment",0
"control",6
"control",4
"control",9
"treatment",8
"treatment",17
"treatment",12
"treatment",13
"control",9
"treatment",6
"control",7
"treatment",9
"treatment",10
"control",7
"control",5
"treatment",2
"treatment",14
"treatment",5
"control",8
"control",8
"control",5
"control",7
"treatment",8
"treatment",10
"control",7
"treatment",11
"treatment",18
"treatment",14
"treatment",13
"control",6
"control",6
"control",4
"control",3
"control",5
"treatment",12
"treatment",6
"treatment",15
"treatment",7
"treatment",11
"treatment",13
"control",12
"treatment",8
"control",11
"treatment",9
"treatment",11
"control",8
"control",10
"treatment",5
"treatment",10
"control",6
"control",8
"treatment",11
"control",7
"treatment",14
"treatment",13
"control",7
"control",8
"treatment",12
"control",13
"control",13
"treatment",12
"control",10
"control",12
"control",9
"treatment",9
"treatment",11
"control",13
"treatment",17
"control",11
"control",11
"control",7
"control",8
"treatment",9
"control",13
"control",7
"treatment",1
"treatment",3
"control",5
"treatment",16
"treatment",3
"treatment",0
"control",11
"treatment",11
"control",4
"control",10
"treatment",13
"treatment",9
"treatment",9
"control",10
"treatment",7
"control",8
"control",12
"control",8
"treatment",12
"treatment",8
"control",8
"treatment",9
"control",4
"control",5
"treatment",9
"control",7
"control",10
"treatment",16
"control",6
"control",6
"control",2
"treatment",9
"control",4
"control",9
"treatment",13
"control",13
"control",12
"treatment",5
"treatment",10
"treatment",18
"control",10
"control",7
"treatment",7
"control",6
"control",7
"control",8
"treatment",9
"control",7
"treatment",14
"control",12
"treatment",5
"control",8
"treatment",4
"treatment",10
"treatment",6
"treatment",7
"control",11
"control",9
"treatment",6
"treatment",9
"control",7
"treatment",18
"treatment",13
"treatment",9
"treatment",5
"control",18
"treatment",7
"treatment",10
"treatment",16
"control",10
"control",7
"control",7
"control",8
"treatment",12
"control",3
"treatment",12
"control",9
"control",7
"treatment",13
"control",11
"control",8
"treatment",11
"treatment",9
"treatment",11
"control",13
"control",12
"treatment",16
"treatment",3
"control",9
"control",9
"treatment",11
"treatment",3
"treatment",11
"treatment",9
"treatment",12
"control",8
"control",7
"control",15
"control",8
"control",8
"treatment",7
"control",4
"control",6
"treatment",6
"treatment",7
"control",12
